frequency,mag,ph
1.00E+02,3.48E+01,3.91E+01
2.00E+02,3.90E+01,2.14E+01
3.00E+02,4.02E+01,-6.74E-01
4.00E+02,4.01E+01,-1.71E+01
5.00E+02,3.96E+01,-2.98E+01
6.00E+02,3.86E+01,-4.02E+01
7.00E+02,3.79E+01,-4.63E+01
8.00E+02,3.71E+01,-5.30E+01
9.00E+02,3.60E+01,-5.72E+01
1.00E+03,3.54E+01,-6.16E+01
1.10E+03,3.45E+01,-6.50E+01
1.20E+03,3.41E+01,-6.77E+01
1.30E+03,3.34E+01,-6.92E+01
1.40E+03,3.26E+01,-7.28E+01
1.50E+03,3.22E+01,-7.57E+01
1.60E+03,3.17E+01,-7.72E+01
1.70E+03,3.12E+01,-7.73E+01
1.80E+03,3.06E+01,-7.79E+01
1.90E+03,3.03E+01,-7.95E+01
2.00E+03,2.99E+01,-8.21E+01
2.10E+03,2.95E+01,-8.22E+01
2.20E+03,2.89E+01,-8.37E+01
2.30E+03,2.87E+01,-8.51E+01
2.40E+03,2.83E+01,-8.64E+01
2.50E+03,2.80E+01,-8.72E+01
2.60E+03,2.75E+01,-8.82E+01
2.70E+03,2.73E+01,-8.78E+01
2.80E+03,2.73E+01,-9.02E+01
2.90E+03,2.65E+01,-9.02E+01
3.00E+03,2.64E+01,-9.04E+01
3.10E+03,2.59E+01,-9.25E+01
3.20E+03,2.61E+01,-9.26E+01
3.30E+03,2.57E+01,-9.07E+01
3.40E+03,2.54E+01,-9.42E+01
3.50E+03,2.52E+01,-9.60E+01
3.60E+03,2.44E+01,-9.43E+01
3.70E+03,2.45E+01,-9.71E+01
3.80E+03,2.44E+01,-9.54E+01
3.90E+03,2.45E+01,-9.84E+01
4.00E+03,2.44E+01,-9.98E+01
4.10E+03,2.35E+01,-1.01E+02
4.20E+03,2.42E+01,-9.99E+01
4.30E+03,2.32E+01,-9.98E+01
4.40E+03,2.30E+01,-1.00E+02
4.50E+03,2.29E+01,-1.00E+02
4.60E+03,2.27E+01,-1.00E+02
4.70E+03,2.26E+01,-1.01E+02
4.80E+03,2.23E+01,-1.01E+02
4.90E+03,2.24E+01,-1.05E+02
5.00E+03,2.19E+01,-1.04E+02
5.10E+03,2.16E+01,-1.04E+02
5.20E+03,2.15E+01,-1.07E+02
5.30E+03,2.13E+01,-1.05E+02
5.40E+03,2.08E+01,-1.08E+02
5.50E+03,2.12E+01,-1.05E+02
5.60E+03,2.13E+01,-1.07E+02
5.70E+03,2.08E+01,-1.09E+02
5.80E+03,2.02E+01,-1.10E+02
5.90E+03,2.10E+01,-1.08E+02
6.00E+03,2.03E+01,-1.09E+02
6.10E+03,2.00E+01,-1.09E+02
6.20E+03,2.03E+01,-1.09E+02
6.30E+03,1.89E+01,-1.10E+02
6.40E+03,2.00E+01,-1.09E+02
6.50E+03,1.96E+01,-1.10E+02
6.60E+03,1.94E+01,-1.14E+02
6.70E+03,1.91E+01,-1.14E+02
6.80E+03,1.90E+01,-1.12E+02
7.10E+03,1.85E+01,-1.16E+02
7.60E+03,1.81E+01,-1.13E+02
8.10E+03,1.73E+01,-1.18E+02
8.60E+03,1.76E+01,-1.22E+02
9.20E+03,1.67E+01,-1.22E+02
9.80E+03,1.60E+01,-1.24E+02
1.04E+04,1.59E+01,-1.30E+02
1.11E+04,1.50E+01,-1.33E+02
1.18E+04,1.42E+01,-1.32E+02
1.26E+04,1.33E+01,-1.38E+02
1.34E+04,1.24E+01,-1.36E+02
1.42E+04,1.25E+01,-1.44E+02
1.52E+04,1.31E+01,-1.53E+02
1.62E+04,1.09E+01,-1.54E+02
1.72E+04,9.30E+00,-1.55E+02
1.83E+04,8.74E+00,-1.72E+02
1.95E+04,8.03E+00,-1.73E+02
2.08E+04,9.00E+00,-1.70E+02
2.21E+04,8.38E+00,-1.79E+02
2.35E+04,7.26E+00,1.69E+02
2.51E+04,4.70E+00,1.80E+02
2.67E+04,6.66E+00,1.53E+02
2.84E+04,3.68E+00,1.50E+02
3.03E+04,4.94E+00,1.49E+02
3.22E+04,3.20E+00,1.38E+02
3.43E+04,-1.75E+00,1.12E+02
3.65E+04,-4.12E-02,8.77E+01
3.89E+04,-6.31E+00,1.08E+02
4.14E+04,-3.16E+00,1.24E+02
4.41E+04,-7.04E+00,7.78E+01
4.70E+04,-2.58E+00,-1.53E+01
5.00E+04,-9.36E+00,0.00E+00
