frequency,mag,ph
1.00E+02,3.75E+01,-3.22E+01
2.00E+02,3.61E+01,-6.14E+01
3.00E+02,3.39E+01,-8.70E+01
4.00E+02,3.13E+01,-1.05E+02
5.00E+02,2.89E+01,-1.20E+02
6.00E+02,2.64E+01,-1.32E+02
7.00E+02,2.45E+01,-1.40E+02
8.00E+02,2.23E+01,-1.48E+02
9.00E+02,2.04E+01,-1.52E+02
1.00E+03,1.89E+01,-1.60E+02
1.10E+03,1.75E+01,-1.64E+02
1.20E+03,1.62E+01,-1.67E+02
1.30E+03,1.52E+01,-1.71E+02
1.40E+03,1.36E+01,-1.74E+02
1.50E+03,1.22E+01,-1.76E+02
1.60E+03,1.11E+01,-1.77E+02
1.70E+03,1.04E+01,1.77E+02
1.80E+03,9.83E+00,1.75E+02
1.90E+03,8.77E+00,1.71E+02
2.00E+03,8.03E+00,1.71E+02
2.10E+03,7.39E+00,1.66E+02
2.20E+03,6.63E+00,1.67E+02
2.30E+03,5.56E+00,1.64E+02
2.40E+03,5.12E+00,1.61E+02
2.50E+03,3.97E+00,1.59E+02
2.60E+03,3.94E+00,1.57E+02
2.70E+03,3.66E+00,1.53E+02
2.80E+03,2.73E+00,1.55E+02
2.90E+03,1.83E+00,1.52E+02
3.00E+03,6.00E-01,1.49E+02
3.10E+03,1.21E+00,1.53E+02
3.20E+03,1.54E+00,1.44E+02
3.30E+03,9.02E-01,1.52E+02
3.40E+03,9.10E-01,1.39E+02
3.50E+03,-4.17E-01,1.34E+02
3.60E+03,-1.79E+00,1.47E+02
3.70E+03,-6.89E-01,1.43E+02
3.80E+03,-3.87E-01,1.39E+02
3.90E+03,-1.29E+00,1.45E+02
4.00E+03,-1.29E+00,1.36E+02
4.10E+03,-3.45E+00,1.40E+02
4.20E+03,-3.83E+00,1.36E+02
4.30E+03,-4.25E+00,1.36E+02
4.40E+03,-3.30E+00,1.30E+02
4.50E+03,-6.07E+00,9.66E+01
4.60E+03,-4.94E+00,1.29E+02
4.70E+03,-4.77E+00,1.22E+02
4.80E+03,-5.14E+00,1.30E+02
4.90E+03,-5.65E+00,1.25E+02
5.00E+03,-4.45E+00,1.27E+02
5.10E+03,-5.94E+00,1.29E+02
5.20E+03,-6.49E+00,1.22E+02
5.30E+03,-7.11E+00,1.40E+02
5.40E+03,-8.25E+00,1.15E+02
5.50E+03,-6.49E+00,1.19E+02
5.60E+03,-6.92E+00,1.13E+02
5.70E+03,-5.84E+00,1.20E+02
5.80E+03,-7.94E+00,1.15E+02
5.90E+03,-6.33E+00,1.08E+02
6.00E+03,-8.33E+00,9.47E+01
6.10E+03,-3.21E+00,8.18E+01
6.20E+03,-7.14E+00,1.05E+02
6.30E+03,-8.49E+00,1.05E+02
6.40E+03,-8.89E+00,1.08E+02
6.50E+03,-9.60E+00,1.18E+02
6.60E+03,-7.00E+00,1.20E+02
6.70E+03,-1.19E+01,9.55E+01
6.80E+03,-7.73E+00,1.05E+02
7.10E+03,-9.99E+00,1.09E+02
7.60E+03,-1.06E+01,1.02E+02
8.10E+03,-8.68E+00,9.27E+01
8.60E+03,-1.36E+01,9.51E+01
9.20E+03,-9.06E+00,7.15E+01
9.80E+03,-1.19E+01,7.08E+01
1.04E+04,-1.27E+01,8.25E+01
1.11E+04,-1.13E+01,9.35E+01
1.18E+04,-1.41E+01,5.71E+01
1.26E+04,-1.42E+01,8.53E+01
1.34E+04,-1.81E+01,4.39E+01
1.42E+04,-1.38E+01,5.98E+01
1.52E+04,-1.63E+01,3.07E+01
1.62E+04,-2.13E+01,-3.25E+01
1.72E+04,-2.19E+01,8.14E+01
1.83E+04,-3.47E+01,-1.88E+01
1.95E+04,-1.64E+01,8.81E+01
2.08E+04,-1.93E+01,1.19E+01
2.21E+04,-1.81E+01,3.88E+01
2.35E+04,-1.67E+01,1.27E+00
2.51E+04,-2.95E+01,7.42E+01
2.67E+04,-1.96E+01,5.53E+01
2.84E+04,-3.02E+01,-4.72E+01
3.03E+04,-3.04E+01,2.98E+01
3.22E+04,-2.50E+01,-2.00E+01
3.43E+04,-2.42E+01,2.72E+01
3.65E+04,-2.81E+01,3.67E+00
3.89E+04,-2.17E+01,7.20E+00
4.14E+04,-2.47E+01,-1.59E+02
4.41E+04,-2.58E+01,-1.40E+02
4.70E+04,-5.14E+01,2.26E+01
5.00E+04,-2.96E+01,-1.80E+02
